French,English
aimerais,would like to
revoir,meet again
parle,speak
attendez,Wait
leurs,their
voici,here is
vers,towards
mois,month
savais,knew
point,point
croire,believe
plutôt,rather
pourrais,could
affaire,case
gros,large
partie,part
perdu,lost
seulement,only
parlé,speak
enfant,child
fin,end
pendant,while
trouve,find
laisse,leash
vont,will
heures,hours
dont,whose
bureau,office
aucune,any
laisser,let
minutes,minutes
arrivé,come
mis,placed
longtemps,long time
venez,come
aura,will have
belle,beautiful
façon,way
frère,brother
venu,came
filles,girls
endroit,place
corps,body
eux,them
compris,understood
pensais,thought
aucun,no
jouer,to play
aide,help
tellement,so much
première,first
pardon,sorry
type,type
genre,kind
vieux,old
devrait,should
bébé,baby
cause,cause
donner,give
police,police
boulot,job
côté,side
mettre,to put
sois,be
train,train
nouvelle,new
premier,first
attention,Warning
mari,husband
demande,request
chérie,sweetheart
étaient,were
chambre,bedroom
demandé,request
chercher,search
terre,Earth
yeux,eyes
place,square
loin,far
ville,city
devant,in front of
dirait,would say
chaque,each
enfin,finally
aujourd'hui,today
écoute,listen
arrêter,Stop
car,because
tiens,here
compte,account
